Fecha,Periodo,Sesiones,ATC,Drop Sesion>ATC,% Abandono Sesion>ATC,Checkout,Drop ATC>Checkout,% Abandono ATC>Checkout,Compras,Drop Checkout>Compra,% Abandono Checkout>Compra
2025-08-01,2025,17731,2371,15360,86.6,1809,562,23.7,238,1571,86.8
2025-08-02,2025,19523,2851,16672,85.4,2034,817,28.7,246,1788,87.9
2025-08-03,2025,24621,3937,20684,84.0,2569,1368,34.7,303,2266,88.2
2025-08-04,2025,20877,3017,17860,85.5,2352,665,22.0,277,2075,88.2
2025-08-05,2025,18238,2858,15380,84.3,2057,801,28.0,215,1842,89.5
2025-08-06,2025,12120,1164,10956,90.4,962,202,17.4,94,868,90.2
2025-08-07,2025,13507,1097,12410,91.9,659,438,39.9,71,588,89.2
2025-08-08,2025,11811,959,10852,91.9,641,318,33.2,75,566,88.3
2025-08-09,2025,12379,1280,11099,89.7,919,361,28.2,108,811,88.2
2025-08-10,2025,13686,1393,12293,89.8,958,435,31.2,116,842,87.9
2025-08-11,2025,13840,1420,12420,89.7,931,489,34.4,108,823,88.4
2025-08-12,2025,13022,1314,11708,89.9,809,505,38.4,91,718,88.8
2025-08-13,2025,11869,1298,10571,89.1,823,475,36.6,110,713,86.6
2025-08-14,2025,10886,1176,9710,89.2,732,444,37.8,90,642,87.7
2025-08-15,2025,11923,1645,10278,86.2,889,756,46.0,121,768,86.4
2025-08-16,2025,11841,1472,10369,87.6,851,621,42.2,99,752,88.4
2025-08-17,2025,13179,1978,11201,85.0,1186,792,40.0,166,1020,86.0
2025-08-18,2025,17266,4159,13107,75.9,2452,1707,41.0,303,2149,87.6
2025-08-19,2025,12956,2513,10443,80.6,1444,1069,42.5,175,1269,87.9
2025-08-20,2025,12355,2297,10058,81.4,1263,1034,45.0,168,1095,86.7
2025-08-21,2025,11469,2150,9319,81.3,1219,931,43.3,189,1030,84.5
2025-08-22,2025,11822,1923,9899,83.7,1184,739,38.4,142,1042,88.0
2025-08-23,2025,11838,1607,10231,86.4,935,672,41.8,130,805,86.1
2025-08-24,2025,12639,2025,10614,84.0,1201,824,40.7,167,1034,86.1
2025-08-25,2025,12260,1614,10646,86.8,993,621,38.5,145,848,85.4
2026-08-01,2026,29292,4667,24625,84.1,1567,3100,66.4,260,1307,83.4
2026-08-02,2026,33354,5585,27769,83.3,1858,3727,66.7,298,1560,84.0
2026-08-03,2026,30956,4764,26192,84.6,1673,3091,64.9,265,1408,84.2
2026-08-04,2026,24731,3609,21122,85.4,1337,2272,63.0,199,1138,85.1
2026-08-05,2026,11166,2081,9085,81.4,764,1317,63.3,114,650,85.1
2026-08-06,2026,11346,1785,9561,84.3,608,1177,65.9,97,511,84.0
2026-08-07,2026,12785,2141,10644,83.3,719,1422,66.4,95,624,86.8
2026-08-08,2026,12706,1984,10722,84.4,657,1327,66.9,130,527,80.2
2026-08-09,2026,13543,2453,11090,81.9,842,1611,65.7,144,698,82.9
2026-08-10,2026,13735,2033,11702,85.2,698,1335,65.7,125,573,82.1
2026-08-11,2026,13938,1925,12013,86.2,671,1254,65.1,110,561,83.6
2026-08-12,2026,13937,1827,12110,86.9,638,1189,65.1,79,559,87.6
2026-08-13,2026,12459,1890,10569,84.8,736,1154,61.1,105,631,85.7
2026-08-14,2026,13462,1799,11663,86.6,649,1150,63.9,81,568,87.5
2026-08-15,2026,14901,2261,12640,84.8,654,1607,71.1,98,556,85.0
2026-08-16,2026,15905,2710,13195,83.0,870,1840,67.9,137,733,84.3
2026-08-17,2026,16295,2651,13644,83.7,890,1761,66.4,128,762,85.6
2026-08-18,2026,13797,2111,11686,84.7,700,1411,66.8,123,577,82.4
2026-08-19,2026,13041,2057,10984,84.2,750,1307,63.5,111,639,85.2
2026-08-20,2026,11777,1753,10024,85.1,595,1158,66.1,37,558,93.8
2026-08-21,2026,11827,1601,10226,86.5,571,1030,64.3,40,531,93.0
2026-08-22,2026,11467,1721,9746,85.0,601,1120,65.1,46,555,92.3
2026-08-23,2026,16435,2197,14238,86.6,815,1382,62.9,67,748,91.8
2026-08-24,2026,15977,2269,13708,85.8,821,1448,63.8,65,756,92.1
2026-08-25,2026,11708,1674,10034,85.7,583,1091,65.2,33,550,94.3
